,Sport Title,Home Team,Away Team,Timings
0,Belgium First Div,Charleroi,Eupen,2024-01-31T17:45:20Z
1,Belgium First Div,Leuven,Genk,2024-01-31T17:46:00Z
2,HockeyAllsvenskan,Västerviks IK,AIK,2024-01-31T18:00:19Z
3,HockeyAllsvenskan,Södertälje SK,Kalmar HC,2024-01-31T18:00:20Z
4,Basketball Euroleague,AS Monaco,KK Partizan NIS,2024-01-31T18:00:25Z
5,HockeyAllsvenskan,BIK Karlskoga,Brynäs IF,2024-01-31T18:00:47Z
6,La Liga - Spain,Barcelona,CA Osasuna,2024-01-31T18:00:55Z
7,HockeyAllsvenskan,IF Björklöven,Östersunds IK,2024-01-31T18:01:01Z
8,HockeyAllsvenskan,Djurgårdens IF,Västerås IK,2024-01-31T18:01:19Z
9,HockeyAllsvenskan,Nybro Vikings IF,Almtuna IS,2024-01-31T18:01:34Z
10,Basketball Euroleague,Žalgiris,Anadolu Efes,2024-01-31T18:01:49Z
11,Primeira Liga - Portugal,Rio Ave FC,Estoril,2024-01-31T18:45:00Z
12,Basketball Euroleague,Panathinaikos,Pallacanestro Olimpia Milano,2024-01-31T19:15:00Z
13,EPL,Tottenham Hotspur,Brentford,2024-01-31T19:30:00Z
14,EPL,Manchester City,Burnley,2024-01-31T19:30:00Z
15,Basketball Euroleague,FC Barcelona Bàsquet,Virtus Segafredo Bologna,2024-01-31T19:30:00Z
16,Swiss Superleague,FC Zurich,FC Lausanne-Sport,2024-01-31T19:30:00Z
17,Swiss Superleague,FC Lugano,Grasshopper Zürich,2024-01-31T19:30:00Z
18,Swiss Superleague,FC St Gallen,Servette,2024-01-31T19:30:00Z
